Group,RMSE_CoxMunk,RMSE_Guerin,RMSE_TGRS_Hu,RMSE_Elfouhaily,MeanAbsGammaError_TGRS
Linear Elfouhaily,0.00560240122845581,0.00522833363546336,0.00382687821998937,0.000753451386612449,0.0469860133061689
Elfouhaily-Constrained Modified Lie,0.00507180778613019,0.00435424993730739,0.00317287635185709,0.000194912536032336,0.043451049970474
