group,validCount,angleMedian,angleCiLower,angleCiUpper,angleCoverage,epsilonFrontMedian,epsilonRearMedian,asymmetryMedian,asymmetryCiLower,asymmetryCiUpper,frontSteeperProbability,attemptedPairCount,pairedAcceptanceRate
G0 No-breaking,100,4.57351261034374,3.81572827777141,5.26470968563821,0,0.0555546332554635,0.0597101850809892,0.961601795540628,0.824464210294951,1.09083220124848,0.46,131,0.763358778625954
G1 Shallow-curl,100,3.70846807158944,2.5027807945492,4.29760477749403,0,0.0576153064476638,0.0602212130471153,1.00841472667787,0.854836345093467,1.21440210021524,0.5,131,0.763358778625954
G2 Proposed,100,68.1424663082169,67.7032143547685,68.5393841598,0.77,0.469029271949393,0.0796425564744683,5.81434691961039,5.3639823103129,6.65152299288728,1,131,0.763358778625954
