group,pairIndex,randomSeed,amplitudeCurl,curlMultiplier,pivotDepth,forwardGain,verticalAngleRatio,propagationDirectionDeg,frontFaceAngleDeg,epsilonFront,epsilonRear,asymmetry,angleInReference,frontSteeper,valid,errorMessage
G0 No-breaking,1,221800141,0.228275405441058,0,0.914364527102769,0.982274146084917,1.62773491213715,0,7.16148584378041,0.0848067503462433,0.0415925788789351,2.03898754614599,0,1,1,
G0 No-breaking,2,1170758373,0.192541396834867,0,0.914589991083675,1.07139501237365,1.55811445477559,180,0.880755319067818,0.0856936526363461,0.0398031987312249,2.15293381858582,0,1,1,
G0 No-breaking,3,50755713,0.202304065774201,0,0.913456211845414,1.03908409547442,1.61095964880338,180,5.92090135379727,0.0442783194069993,0.0190148474811728,2.32861817329014,0,1,1,
G0 No-breaking,4,551365953,0.215043186454276,0,0.924137064914252,1.05254641338916,1.57729085146333,180,7.41134580500712,0.0830579743955758,0.0344915976302943,2.40806399534898,0,1,1,
G0 No-breaking,5,1209907700,0.222421583503325,0,0.960592281377252,1.00074877686486,1.55443192489184,0,6.67691349063383,0.0662619190247336,0.0264153064611614,2.50846679072828,0,1,1,
G0 No-breaking,6,434808538,0.201740422037114,0,0.934512978250427,1.06760995126085,1.61078178009889,0,5.39245910109783,0.0462123341514217,0.0205573767277246,2.24796844283627,0,1,1,
G0 No-breaking,7,398873430,0.191609366467046,0,0.87729119129205,1.05981323833941,1.62079488135276,180,5.84133580981838,0.0492544393414735,0.0494829872915187,0.995381282283975,0,0,1,
G0 No-breaking,8,425524439,0.228601038722349,0,0.906885191828185,1.07563378712442,1.55636386997965,0,5.26470968563822,0.0860633451120246,0.0418375245464077,2.05708502224026,0,1,1,
G0 No-breaking,9,1835150068,0.218440253684498,0,0.86541952570661,1.11828572608649,1.55552411672583,0,3.60934217334751,0.0995683079083477,0.0370629690800918,2.68646334548061,0,1,1,
G0 No-breaking,10,441952633,0.205149961714448,0,0.96011293049403,1.03862566738452,1.55470095242929,180,1.71023370768458,0.067917358302725,0.0378765260851558,1.79312532912944,0,1,1,
