group,iteration,randomSeed,amplitudeCurl,curlMultiplier,pivotDepth,forwardGain,verticalAngleRatio,frontFaceAngleDeg,rxOverLambda,ryOverLambda,valid,pass,errorMessage
Original,1,1324221008,0.213811975901913,0.459743950438054,0.875262264547962,1.1779245562049,0.238717929174578,1.60831908406204,0.0440083241070211,0.00141972576262016,1,0,
Original,2,1599783174,0.18713319699316,0.605381174648379,1.06525173028385,1.28969081999149,0.200866753448737,4.42046213531574,0.0510727157585404,0.00182663844078165,1,0,
Original,3,934345389,0.187223257717972,0.646202261057712,1.07647134961544,1.27436165245265,0.304219317840294,1.89480507928159,0.052822740952762,0.00170698225546015,1,0,
Original,4,945541049,0.17209165531321,0.636786141264767,0.834966824171961,1.16624626812877,0.236305560927124,4.21557838995955,0.0405277733936029,0.00139187037327174,1,0,
Original,5,2116490466,0.189553340883133,0.568545726327598,0.965907041299802,1.09189711318355,0.226918671011175,7.05355748352874,0.0424019811931369,0.00167745669827135,1,0,
Original,6,1896499927,0.201549054218348,0.638700113233567,1.00881864866253,1.16282526372013,0.224525582826006,7.45083266464701,0.0501189232839817,0.00283657786235741,1,0,
Original,7,1735297180,0.228083623388839,0.605440097140127,1.01059328077902,1.02775392277703,0.398126416495262,1.27015460844393,0.0483744536720784,0.00270245382372999,1,0,
Original,8,1650862500,0.211367161282155,0.635127910806374,1.04342699692381,1.2192904089475,0.314012331964943,7.83475319634728,0.0520463677424271,0.00327010104239416,1,0,
Original,9,1588607533,0.183423472106536,0.641316102279677,0.821901423363978,1.28783096939136,0.238624986351984,6.43413529639942,0.0452636523625291,0.00203119190748894,1,0,
Original,10,1293722203,0.176296996806449,0.506520959641476,0.932810051129723,1.07019702391974,0.238935933120874,1.6735999187356,0.0366907049099808,0.000701881981732331,1,0,
Original,11,971423174,0.186015856992653,0.455387957328423,0.864101726575011,1.07308532267819,0.337418931574743,6.41767930753884,0.0396126829422892,0.00174503238851268,1,0,
Original,12,386098364,0.227331878247513,0.458156988907232,1.08737611445954,1.11673702025361,0.39280931763655,4.86330588574814,0.0484471572384965,0.00127377193966356,1,0,
Original,13,1500966344,0.198875918338024,0.513146011334515,0.893209195307415,1.23650515673454,0.237330018659881,11.041117796339,0.0440624000183119,0.00231432475979476,1,0,
Original,14,1413755745,0.21626004432911,0.596181200792668,0.817688025129205,1.18369599581173,0.294535476608209,10.3189475491392,0.0440571457623176,0.00164462349180787,1,0,
Original,15,42705103,0.22483339485133,0.583237070990523,0.805475405225866,1.29454090168312,0.222686238909823,8.49387585392615,0.0483913890848115,0.00220883288255283,1,0,
Original,16,2119912885,0.195947039201337,0.622692302174771,0.873839296389888,1.0819083239022,0.326449734662476,4.41889454131212,0.0415318419556974,0.00158953596226581,1,0,
Original,17,1379348939,0.173879934881023,0.450512872799513,0.92015493689088,1.22866382068575,0.219592540023058,15.1137224173174,0.0371496786776861,0.00164162987860319,1,0,
Original,18,301458690,0.189671023987036,0.477671373412911,1.02097988079062,1.14935148646526,0.347776942276583,4.16567475371666,0.0413862669255684,0.00178343387396342,1,0,
Original,19,992992832,0.186443111371373,0.595798259298956,0.999585770169758,1.13997786339619,0.286420252441966,1.36466953200981,0.0453738896306224,0.00126356692283707,1,0,
Original,20,914295070,0.193610650309263,0.491783457448748,0.836822753078434,1.11390406926914,0.219177604867204,78.1022888346389,0.0395651708070965,0.0025360440150857,1,0,
Original,21,1257319974,0.180980533693863,0.48632139032583,1.06016912866812,1.21566878863198,0.234915722620515,6.63217655298691,0.0442245026926162,0.00311156001044107,1,0,
Original,22,2053774147,0.175908041400199,0.456467097452588,1.04670192310226,1.00769331058947,0.361173605757069,3.62512573673884,0.035989563423809,0.00122570312889371,1,0,
Original,23,690472726,0.22138965007975,0.507276074753134,0.802132873475314,1.25901575737623,0.286172494434401,16.6768158553988,0.0483647082680673,0.00249724408016173,1,0,
