Group,RMSE_CoxMunk,RMSE_Guerin,RMSE_TGRS_Hu,RMSE_Elfouhaily,MeanAbsGammaError_TGRS
Linear Elfouhaily,0.00560240122845581,0.00522833363546336,0.00382687821998937,0.000753451386612449,0.0469860133061689
Modified Lie Nonlinear,0.00566713867158413,0.00530060164171969,0.00387311790703013,0.000823161941178252,0.0477934784397847
