U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma,PrimaryMssLinear,PrimaryMssModified,ShortWaveMss,DeltaPrimaryMss,DeltaTotalMss,RelativeDeltaPrimaryMss,RelativeDeltaTotalMss,ElevationSkewness,ElevationExcessKurtosis,AlongSlopeSkewness,AlongSlopeExcessKurtosis,CrossSlopeSkewness,CrossSlopeExcessKurtosis,MssNumericalRelativeError,HermitianResidual,RieszEnergyRatio,LiePreProjectionHermitianResidual,DragCoefficient,RawShortWaveCoefficient,WindFactorMode,DimensionalStatus
1,1,Linear Elfouhaily,0.0117984490876931,0.00685337198919479,0.0186518210768879,0.762148661403241,0.00836009644720296,0.00843210620811541,0.0102917246296849,7.2009760912442e-05,7.2009760912442e-05,0.00861350839278108,0.00386073620455602,0.000482664725793697,0.117852611158693,-0.00591937903811327,-0.118637604084304,0.0511580262865513,0.0791239360245379,2.49000497101757e-15,3.0506024755493e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,1,Modified Lie Nonlinear,0.0118586835474481,0.00686514729035217,0.0187238308378003,0.760863393148903,0.00836009644720296,0.00843210620811541,0.0102917246296849,7.2009760912442e-05,7.2009760912442e-05,0.00861350839278108,0.00386073620455602,0.0364242351878011,0.13893848964933,0.0590722451052014,-0.100236233322603,0.0640367299456667,0.0807669829643567,4.11456742399008e-16,3.05265697319586e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,2,Linear Elfouhaily,0.0120124973343145,0.00687431796209879,0.0188868152964133,0.756481228532263,0.00839522724005686,0.00843416489644565,0.0104915880563565,3.89376563887881e-05,3.89376563887898e-05,0.00463807056978774,0.00206163166090708,-0.00944052960546423,-0.0520374895964855,-0.0484188346551443,0.014514362933713,-0.0703898184555355,-0.0158379290356465,2.89284946901697e-15,2.40266069502943e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,2,Modified Lie Nonlinear,0.012041734945969,0.00688401800683311,0.0189257529528021,0.756095175693359,0.00839522724005686,0.00843416489644565,0.0104915880563565,3.89376563887881e-05,3.89376563887898e-05,0.00463807056978774,0.00206163166090708,0.0258319185867715,-0.0396037727505418,0.0181093468562266,0.0294788621434234,-0.0637101980460055,-0.0205668513125685,2.26245970644781e-15,2.39954229065783e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,3,Linear Elfouhaily,0.0111312592753692,0.00679434947868168,0.0179256087540509,0.781271157419875,0.0084530337593055,0.00851997893899922,0.00947257499474538,6.6945179693724e-05,6.69451796937275e-05,0.0079196631174018,0.00373461122644435,-0.0397878606873961,-0.0428234204514037,-0.0248367359244051,0.0765637774709558,0.0641525511095866,-0.146198287591282,2.05219040331779e-16,3.83803957890321e-16,0.999999999999997,0,0.000865,-0.0105671455545726,direction_only,consistent
1,3,Modified Lie Nonlinear,0.011189780340488,0.00680277359325657,0.0179925539337446,0.779708426874539,0.0084530337593055,0.00851997893899922,0.00947257499474538,6.6945179693724e-05,6.69451796937275e-05,0.0079196631174018,0.00373461122644435,-0.00576855650497479,-0.0310478958566343,0.0514057680937732,0.0889602571504411,0.0741804351514691,-0.136426970584672,6.10819635258596e-16,3.84191009906554e-16,0.999999999999997,0,0.000865,-0.0105671455545726,direction_only,consistent
1,4,Linear Elfouhaily,0.0115227563641151,0.00663504585861133,0.0181578022227264,0.758828746490669,0.00850679377496022,0.00859825051759018,0.00965100844776621,9.14567426299525e-05,9.14567426299508e-05,0.010751023834521,0.00503677380710111,-0.0689102778502767,0.0443360247515265,0.0536492642801337,-0.0927488391625961,0.0422460839655247,0.00122436565852846,1.22353275878132e-15,2.59430950141558e-16,0.999999999999998,0,0.000865,-0.0105671455545726,direction_only,consistent
1,4,Modified Lie Nonlinear,0.0116047364785944,0.00664452248676202,0.0182492589653564,0.75668346920652,0.00850679377496022,0.00859825051759018,0.00965100844776621,9.14567426299525e-05,9.14567426299508e-05,0.010751023834521,0.00503677380710111,-0.038703020876791,0.0583517689323547,0.108374225604871,-0.0625358577450275,0.0568883478913981,-0.000343879001034164,2.82454304093502e-15,2.59726867577571e-16,0.999999999999998,0,0.000865,-0.0105671455545726,direction_only,consistent
1,5,Linear Elfouhaily,0.0115869280446742,0.00696204778586805,0.0185489758305422,0.775147489730274,0.00833295691753156,0.00837436759557362,0.0102160189130107,4.14106780420552e-05,4.14106780420552e-05,0.00496950583710951,0.00223250482508417,-0.00716313902629706,0.0464960019774896,-0.0191631278865536,0.016007375780136,0.0329227241382136,-0.0315484613135943,4.57987684914071e-15,1.88544204777303e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,5,Modified Lie Nonlinear,0.0116206615551702,0.00696972495341411,0.0185903865085843,0.774448233566205,0.00833295691753156,0.00837436759557362,0.0102160189130107,4.14106780420552e-05,4.14106780420552e-05,0.00496950583710951,0.00223250482508417,0.0282689234611356,0.0592740168182102,0.0383572441559325,0.0251755098920445,0.0443283178175121,-0.0250577551548319,2.07146803168005e-15,1.89359514160283e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,6,Linear Elfouhaily,0.0113712482450623,0.0068622186653338,0.0182334669103961,0.776833965638292,0.00823007374218127,0.00827711591954967,0.0100033931682148,4.70421773683932e-05,4.70421773683949e-05,0.00571588771158753,0.00257999082673482,0.0212077436288377,0.00644424601099924,0.0184895464402245,0.122867993951961,-0.0366856052743334,0.00776909886134813,1.68622885317384e-15,2.24512439009092e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,6,Modified Lie Nonlinear,0.0114104720595907,0.00687003702817385,0.0182805090877645,0.775939271914485,0.00823007374218127,0.00827711591954967,0.0100033931682148,4.70421773683932e-05,4.70421773683949e-05,0.00571588771158753,0.00257999082673482,0.0587210643857564,0.021119271111075,0.0754682876658149,0.116207183870668,-0.0272656695942063,0.00933795646275426,8.38322668348561e-16,2.24288142751667e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,7,Linear Elfouhaily,0.0113320714500617,0.00678825846038743,0.0181203299104491,0.773970722609809,0.00849204556038786,0.00853871962448032,0.00962828435006129,4.66740640924588e-05,4.66740640924571e-05,0.0054962098072313,0.00257578445442885,0.0507890801576499,0.0053381476603489,0.0147430976271823,-0.0326788131261986,0.0454859889339472,0.0147845347732192,4.28980187829434e-15,2.42790978646156e-16,0.999999999999999,0,0.000865,-0.0105671455545726,direction_only,consistent
1,7,Modified Lie Nonlinear,0.0113695521869368,0.00679745178760482,0.0181670039745416,0.773216989956301,0.00849204556038786,0.00853871962448032,0.00962828435006129,4.66740640924588e-05,4.66740640924571e-05,0.0054962098072313,0.00257578445442885,0.0845420070654027,0.0265004381563694,0.101304702448411,0.0241704070508697,0.0555607746033612,0.0143532883482829,3.86003376303216e-15,2.41384895567153e-16,0.999999999999999,0,0.000865,-0.0105671455545726,direction_only,consistent
1,8,Linear Elfouhaily,0.0119479574654768,0.0068926427935129,0.0188406002589897,0.759531958323674,0.00854235986528237,0.00861463495168728,0.0102982403937073,7.22750864049059e-05,7.22750864049077e-05,0.00846078689550933,0.00383613501753597,0.0744242843106752,-0.106216365449331,0.00194493064276522,0.153603473495046,-0.0207607423211723,-0.0290855647234136,1.01536548643135e-15,3.22265643152235e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,8,Modified Lie Nonlinear,0.0120094014379579,0.00690347390743669,0.0189128753453946,0.75818146426138,0.00854235986528237,0.00861463495168728,0.0102982403937073,7.22750864049059e-05,7.22750864049077e-05,0.00846078689550933,0.00383613501753597,0.108342280481856,-0.0851746602013961,0.074199749620373,0.194018569206264,-0.0151464452410902,-0.0278510687868367,1.81232418684594e-15,3.21410060552815e-16,1,0,0.000865,-0.0105671455545726,direction_only,consistent
1,9,Linear Elfouhaily,0.0114764326059704,0.00658903489106735,0.0180654674970378,0.757717727874854,0.00853990794053438,0.00861419987511433,0.00952555955650341,7.42919345799592e-05,7.42919345799627e-05,0.00869938354104909,0.00411237265751049,-0.0581263518658785,0.0128855187691324,-0.0387398258782668,-0.0653132687648275,-0.0598115099391195,-0.12467844006534,4.06262804717836e-16,1.89511994019283e-16,0.999999999999997,0,0.000865,-0.0105671455545726,direction_only,consistent
1,9,Modified Lie Nonlinear,0.0115427758298005,0.00659698360181721,0.0181397594316177,0.755992647233011,0.00853990794053438,0.00861419987511433,0.00952555955650341,7.42919345799592e-05,7.42919345799627e-05,0.00869938354104909,0.00411237265751049,-0.0253188081838577,0.0295818905682279,0.0197775458503813,-0.0539909171344246,-0.041339454606171,-0.13947937058128,4.83310859128292e-15,1.88935338365424e-16,0.999999999999997,0,0.000865,-0.0105671455545726,direction_only,consistent
