U10,Series,Kmax,MssTotal
5,sweep,100,0.024737407501373
5,sweep,200,0.0266403913984329
5,sweep,370,0.0286563311088112
5,sweep,1000,0.031357691455215
5,sweep,2000,0.0316703124510602
5,sweep,3141.59265358979,0.0316714321893845
5,cumulative,1,0.00494291720902354
5,cumulative,1.0374536927703,0.00511623609509909
5,cumulative,1.07631016464272,0.00528976406371989
5,cumulative,1.1166219548748,0.00546347540178517
5,cumulative,1.15844357051324,0.00563736088867546
5,cumulative,1.20183156009497,0.00581142606168288
5,cumulative,1.24684459010841,0.00598568977906611
5,cumulative,1.29354352431864,0.00616018254504145
5,cumulative,1.34199150606347,0.00633494466677698
5,cumulative,1.39225404363192,0.00651002459452937
5,cumulative,1.44439909884031,0.00668547713008779
5,cumulative,1.49849717892596,0.00686136137796837
5,cumulative,1.55462143188261,0.00703773904929762
5,cumulative,1.61284774536646,0.00721467272889504
5,cumulative,1.67325484930668,0.00739222413157955
5,cumulative,1.73592442235902,0.00757045281574095
5,cumulative,1.8009412023465,0.00774941471374334
5,cumulative,1.86839310083656,0.00792916079855676
5,cumulative,1.93837132200943,0.00810973612404998
5,cumulative,2.01097048597872,0.00829117898567237
5,cumulative,2.0862887567307,0.00847352015981651
5,cumulative,2.16442797485541,0.00865678279049894
5,cumulative,2.24549379524908,0.00884098193962447
5,cumulative,2.32959582997394,0.0090261245147053
5,cumulative,2.41684779646874,0.00921220944985305
5,cumulative,2.50736767131025,0.00939922798760901
5,cumulative,2.60127784973367,0.00958716393542397
5,cumulative,2.69870531112777,0.00977599459344291
5,cumulative,2.79978179072831,0.00996569097129572
5,cumulative,2.90464395774212,0.0101562184627179
5,cumulative,3.01343360014249,0.0103475375043126
5,cumulative,3.12629781638591,0.0105396041942
5,cumulative,3.24338921430927,0.0107323706940748
5,cumulative,3.3648661174765,0.0109257863212058
5,cumulative,3.49089277925364,0.0111197975093826
5,cumulative,3.62163960490185,0.0113143483975329
5,cumulative,3.75728338198857,0.011509381205055
5,cumulative,3.89800751942851,0.0117048365226806
5,cumulative,4.04400229547748,0.0119006534303593
5,cumulative,4.19546511501467,0.0120967702174499
5,cumulative,4.35260077646091,0.0122931240054582
5,cumulative,4.51562174869423,0.0124896510687541
5,cumulative,4.68474845833669,0.0126862869445362
5,cumulative,4.86020958780134,0.0128829664780106
5,cumulative,5.0422423845021,0.0130796238670663
5,cumulative,5.2310929816446,0.0132761931132129
5,cumulative,5.42701673103196,0.0134726076201737
5,cumulative,5.63027854833528,0.0136688004302344
5,cumulative,5.84115327129582,0.0138647042908267
5,cumulative,6.05992603134314,0.0140602516453513
5,cumulative,6.28689263913177,0.0142553747845624
5,cumulative,6.52235998451765,0.0144500061457649
5,cumulative,6.76664645151504,0.0146440780150012
