U10,K,LinearSpectrum,ModifiedSpectrum,LinearMssIntegrand,ModifiedMssIntegrand,DressingRatio
3,0.0676706466935288,1.37392045883167e-77,1.27417135351582e-09,6.29161652228813e-80,5.83483380604387e-12,NaN
3,0.0937517414880656,3.52576484664986e-39,2.02981663141073e-09,3.09893188727144e-41,1.78408480371842e-11,NaN
3,0.129884809167718,2.69013216912308e-20,4.71052754001282e-09,4.53827009268374e-22,7.94668994370335e-11,NaN
3,0.144794266849221,4.36975201188255e-16,9.61831312504493e-09,9.16135101781565e-18,2.0165158685936e-10,NaN
3,0.179944003010143,4.03942096766034e-11,4.38989807070711e-09,1.30795821669073e-12,1.42144215668164e-10,NaN
3,0.200599748013052,4.80083973950096e-09,2.21530958843589e-08,1.93187034068849e-10,8.9144631388737e-10,NaN
3,0.223626562873739,1.59680039915153e-07,1.6152857527849e-07,7.9854135070668e-09,8.07785661558884e-09,NaN
3,0.249296622344054,6.17645136510643e-07,5.76679033446962e-07,3.83859077115859e-08,3.58399133233038e-08,NaN
3,0.27791334407462,1.36974671769293e-05,1.3599808283335e-05,1.05793520267787e-06,1.0503924372853e-06,0.992035908864779
3,0.309814974982473,0.000113501121246213,0.000113312870419389,1.089444129828e-05,1.08763719826673e-05,0.998143089718542
3,0.34537858929731,0.000113079778857012,0.000112934998893681,1.34888763340364e-05,1.34716060577698e-05,0.998350967168728
3,0.385024545542863,0.000554313374741297,0.000553042209332916,8.21735768654721e-05,8.19851343469362e-05,0.999068541820451
3,0.429221455134488,0.000599442763341199,0.000598135429745825,0.000110435974229705,0.000110195122778862,0.99774295801999
3,0.478491721321331,0.00135108022177341,0.00135270630854831,0.000309335663403163,0.000309707963006959,1.0012523210866
3,0.533417713942821,0.00154438558636005,0.001546726228997,0.000439430915059885,0.000440096908542901,1.00139833399005
3,0.594648652984544,0.00233488197176165,0.00233370157223262,0.000825630657245241,0.000825213259684783,0.99924203254025
3,0.662908282296446,0.00309079341913815,0.00309365859205273,0.00135824110334805,0.00135950019610937,1.00085573672738
3,0.739003424176002,0.00355357689840912,0.00355231935763839,0.00194070095378925,0.00194001417800166,0.999775142024258
3,0.82383351593069,0.00289227448844712,0.00288649158345468,0.00196299150218458,0.00195906663495519,0.998127782847727
3,0.918401241141045,0.00274199113823447,0.00274692534177931,0.00231276214798585,0.00231692395545118,1.00194866014692
3,1.02382438128479,0.00237122514125137,0.00236770770184046,0.00248555699510779,0.00248186995755891,0.998190787217941
3,1.14134902780712,0.00201959959751548,0.00201745323458585,0.00263088716326915,0.00262809114435223,0.998860068480494
3,1.27236431080254,0.00154287727841955,0.00154736759482357,0.00249778090419131,0.00250505032653917,1.00307389781096
3,1.41841881839987,0.00137443915164452,0.00137751169140102,0.0027652505460321,0.00277143222546782,1.00231698257005
3,1.58123890092601,0.000971049607062842,0.000974223484981423,0.0024279313177653,0.00243586701697288,1.00346428621778
3,1.76274907620186,0.000715647672791032,0.000717332281958467,0.00222372078203888,0.002228955341666,1.00228667506473
3,1.9650947771591,0.000607862059042473,0.000612797309663204,0.00234731859734211,0.00236637654871817,1.0083078244928
3,2.19066771065252,0.000439156729820739,0.000443792289714535,0.00210752413345042,0.00212977030135549,1.01062063882613
3,2.44213412720654,0.000312306365481089,0.00031452109459964,0.00186260112730259,0.00187580981405648,1.00715479630286
3,2.72246633584167,0.000236335691293956,0.000239295956983949,0.0017516783005873,0.00177361926576588,1.01240260747212
3,3.03497783648324,0.000161800151393533,0.000163882315822325,0.00149035583221294,0.00150953483713568,1.01273615421788
3,3.38336248521391,0.000123554967769397,0.000125972869639862,0.00141435122458014,0.00144202928992342,1.01918241767205
3,3.77173815529972,8.64336093104743e-05,8.81639911883586e-05,0.00122960527907283,0.00125422170674295,1.02015262426489
3,4.2046954100587,6.20505934851183e-05,6.29263939325706e-05,0.00109702120213791,0.00111250488417437,1.01402932193515
3,4.68735176288076,4.56790984319412e-05,4.61607872671035e-05,0.00100362764736534,0.00101421096115635,1.01053555729175
3,5.225412165747,3.31385176468907e-05,3.32305908905804e-05,0.000904844980934887,0.000907359034620655,1.00280246343337
3,5.82523644121722,2.42186068974534e-05,2.42416128610989e-05,0.000821819181139651,0.000822599851237006,1.00095377651967
5,0.024361542992796,3.0103526356227e-76,2.87124667137767e-08,1.78659846261334e-79,1.70404119044542e-11,NaN
5,0.0337516954935501,7.72742789863401e-38,4.59151064882986e-08,8.80290773478268e-41,5.23054309080856e-11,NaN
5,0.0467612806391695,5.8980662029017e-19,1.0664929151308e-07,1.28968139910701e-21,2.33201193002365e-10,NaN
5,0.0521294725451492,9.58185286989482e-15,2.17267080493007e-07,2.60385118174805e-17,5.90419360407978e-10,NaN
